Survived,Age,SibSp,Parch,Fare,Master.,Miss.,Mr.,Mrs.,Other,CabinNo,A_CABIN,B_CABIN,C_CABIN,D_CABIN,E_CABIN,F_CABIN,G_CABIN,T_CABIN,InCabin,class_1,class_2,class_3,C,Q,S,female,male,FamilyAboard,IsAlone
0,22.0,1,0,7.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,1,False
1,38.0,1,0,71.2833,0,0,0,1,0,85,0,0,1,0,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,26.0,0,0,7.925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,35.0,1,0,53.1,0,0,0,1,0,123,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,1,False
0,35.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,36.46166108500672,0,0,8.4583,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,0,True
0,54.0,0,0,51.8625,0,0,1,0,0,46,0,0,0,0,1,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,2.0,3,1,21.075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,4,False
1,27.0,0,2,11.1333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,2,False
1,14.0,1,0,30.0708,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,1,0,1,False
1,4.0,1,1,16.7,0,1,0,0,0,6,0,0,0,0,0,0,1,0,True,0,0,1,0,0,1,1,0,2,False
1,58.0,0,0,26.55,0,1,0,0,0,103,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,1,0,0,True
0,20.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,39.0,1,5,31.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,6,False
0,14.0,0,0,7.8542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,0,True
1,55.0,0,0,16.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
0,2.0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,5,False
1,23.107288287210793,0,0,13.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,31.0,1,0,18.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
1,20.594040324631923,0,0,7.225,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,0,True
0,35.0,0,0,26.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
1,34.0,0,0,13.0,0,0,1,0,0,56,0,0,0,1,0,0,0,0,True,0,1,0,0,0,1,0,1,0,True
1,15.0,0,0,8.0292,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
1,28.0,0,0,35.5,0,0,1,0,0,6,1,0,0,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
0,8.0,3,1,21.075,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,4,False
1,38.0,1,5,31.3875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,6,False
0,24.831475435461538,0,0,7.225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,19.0,3,2,263.0,0,0,1,0,0,27,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,5,False
1,21.499004027239785,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,39.61882764053007,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,40.0,0,0,27.7208,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,0,True
1,42.84663206424854,1,0,146.5208,0,0,0,1,0,78,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,31.199413122521275,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,66.0,0,0,10.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,0,1,0,True
0,28.0,1,0,82.1708,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,1,0,0,0,1,1,False
0,42.0,1,0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,1,0,0,0,0,1,0,1,1,False
1,27.219009369983045,0,0,7.2292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
0,21.0,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,18.0,2,0,18.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,2,False
1,14.0,1,0,11.2417,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,1,0,1,False
0,40.0,1,0,9.475,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,27.0,1,0,21.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,20.11329691523988,0,0,7.8958,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
1,3.0,1,2,41.5792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,1,0,0,1,0,3,False
1,19.0,0,0,7.8792,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,6.961808066014175,0,0,8.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
0,36.79892604968739,1,0,15.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,0,1,1,False
1,64.64934188574973,0,0,7.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,1,0,1,0,0,True
0,44.72291298194526,2,0,21.6792,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,2,False
0,18.0,1,0,17.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,1,0,1,False
0,7.0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,5,False
0,21.0,0,0,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,0,True
1,49.0,1,0,76.7292,0,0,0,1,0,33,0,0,0,1,0,0,0,0,True,1,0,0,1,0,0,1,0,1,False
1,29.0,1,0,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,1,False
0,65.0,0,1,61.9792,0,0,1,0,0,30,0,1,0,0,0,0,0,0,True,1,0,0,1,0,0,0,1,1,False
1,24.773022448536413,0,0,35.5,0,0,1,0,0,52,0,0,1,0,0,0,0,0,True,1,0,0,0,0,1,0,1,0,True
1,21.0,0,0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,0,True
0,28.5,0,0,7.2292,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,1,0,0,0,1,0,True
1,5.0,1,2,27.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0,1,0,0,0,1,1,0,3,False
0,11.0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0,0,1,0,0,1,0,1,7,False
